graph,s,node_id,k_birth,k_death,persistence,size_birth,size_death
com-dblp,3,10891,105,105,0,1,30
com-dblp,3,10911,105,36,69,1,92
com-dblp,3,10963,105,55,50,1,77
com-dblp,3,10997,105,66,39,1,30
com-dblp,3,11054,105,28,77,1,30
com-dblp,3,11075,105,105,0,1,30
com-dblp,3,11092,105,105,0,1,26
com-dblp,3,11128,105,105,0,1,30
com-dblp,3,11167,105,105,0,1,30
com-dblp,3,11297,105,105,0,1,25
com-dblp,3,11322,105,105,0,1,29
com-dblp,3,11341,105,105,0,1,27
com-dblp,3,11402,105,105,0,1,29
com-dblp,3,11429,105,105,0,1,30
com-dblp,3,11582,105,105,0,1,28
com-dblp,3,12395,91,91,0,1,56
com-dblp,3,12411,91,91,0,1,45
com-dblp,3,12427,91,91,0,1,28
com-dblp,3,12443,91,91,0,1,28
com-dblp,3,12459,91,28,63,1,28
com-dblp,3,12475,91,15,76,1,28
com-dblp,3,12516,91,78,13,1,55
com-dblp,3,12532,91,91,0,1,24
com-dblp,3,12548,91,36,55,1,28
com-dblp,3,12564,91,0,91,1,15
com-dblp,3,12580,91,91,0,1,28
com-dblp,3,12596,91,91,0,1,28
com-dblp,3,12616,91,91,0,1,20
com-dblp,3,12648,91,91,0,1,28
com-dblp,3,12670,91,91,0,1,28
com-dblp,3,12688,91,91,0,1,28
com-dblp,3,12705,91,36,55,1,83
com-dblp,3,12721,91,6,85,1,33
com-dblp,3,12738,91,91,0,1,48
com-dblp,3,12769,91,36,55,1,28
com-dblp,3,12785,91,91,0,1,26
com-dblp,3,12810,91,15,76,1,28
com-dblp,3,12842,91,78,13,1,28
com-dblp,3,12858,91,55,36,1,76
com-dblp,3,12878,91,41,50,1,28
com-dblp,3,12894,91,15,76,1,40
com-dblp,3,12910,91,21,70,1,54
com-dblp,3,12941,91,36,55,1,28
com-dblp,3,13042,91,91,0,1,26
com-dblp,3,13139,91,66,25,1,28
com-dblp,3,13163,91,91,0,1,28
com-dblp,3,13179,91,91,0,1,26
com-dblp,3,13198,91,91,0,1,28
com-dblp,3,13219,91,91,0,1,28
com-dblp,3,13260,91,91,0,1,28
com-dblp,3,13278,91,91,0,1,28
com-dblp,3,13297,91,91,0,1,28
com-dblp,3,13317,91,91,0,1,27
com-dblp,3,13401,91,31,60,1,52
com-dblp,3,13497,91,78,13,1,28
com-dblp,3,13590,91,91,0,1,27
com-dblp,3,13885,91,91,0,1,16
com-dblp,3,14653,78,0,78,1,19
com-dblp,3,14711,78,55,23,1,25
com-dblp,3,14740,78,18,60,1,58
com-dblp,3,14755,78,33,45,1,26
com-dblp,3,14770,78,78,0,1,22
com-dblp,3,14813,78,10,68,1,97
com-dblp,3,14828,78,28,50,1,43
com-dblp,3,14843,78,36,42,1,26
com-dblp,3,14872,78,78,0,1,23
com-dblp,3,14887,78,78,0,1,26
com-dblp,3,14902,78,21,57,1,26
com-dblp,3,14930,78,78,0,1,26
com-dblp,3,14945,78,78,0,1,26
com-dblp,3,14962,78,78,0,1,26
com-dblp,3,15010,78,78,0,1,15
com-dblp,3,15053,78,66,12,1,43
com-dblp,3,15101,78,78,0,1,26
com-dblp,3,15116,78,36,42,1,26
com-dblp,3,15131,78,78,0,1,25
com-dblp,3,15161,78,78,0,1,23
com-dblp,3,15176,78,78,0,1,51
com-dblp,3,15191,78,78,0,1,26
com-dblp,3,15206,78,78,0,1,21
com-dblp,3,15245,78,78,0,1,26
com-dblp,3,15260,78,6,72,1,26
com-dblp,3,15276,78,28,50,1,26
com-dblp,3,15304,78,78,0,1,25
com-dblp,3,15319,78,28,50,1,26
com-dblp,3,15336,78,78,0,1,26
com-dblp,3,15351,78,78,0,1,26
com-dblp,3,15390,78,21,57,1,26
com-dblp,3,15408,78,66,12,1,26
com-dblp,3,15437,78,78,0,1,25
com-dblp,3,15479,78,66,12,1,26
com-dblp,3,15521,78,78,0,1,23
com-dblp,3,15538,78,78,0,1,26
com-dblp,3,15554,78,15,63,1,26
com-dblp,3,15579,78,66,12,1,47
com-dblp,3,15621,78,28,50,1,26
com-dblp,3,15651,78,66,12,1,26
com-dblp,3,15666,78,78,0,1,17
com-dblp,3,15685,78,13,65,1,34
com-dblp,3,15750,78,78,0,1,24
com-dblp,3,15772,78,78,0,1,22
com-dblp,3,15794,78,78,0,1,24
com-dblp,3,15844,78,36,42,1,36
com-dblp,3,15921,78,78,0,1,23
com-dblp,3,15940,78,78,0,1,21
com-dblp,3,16029,78,78,0,1,25
com-dblp,3,16232,78,66,12,1,26
com-dblp,3,17792,66,66,0,1,24
com-dblp,3,17817,66,66,0,1,19
com-dblp,3,17865,66,66,0,1,24
com-dblp,3,17879,66,66,0,1,24
com-dblp,3,17893,66,36,30,1,24
com-dblp,3,17907,66,66,0,1,24
com-dblp,3,17921,66,55,11,1,24
com-dblp,3,17935,66,66,0,1,21
com-dblp,3,17949,66,66,0,1,49
com-dblp,3,17963,66,66,0,1,16
com-dblp,3,17977,66,66,0,1,24
com-dblp,3,17991,66,66,0,1,74
com-dblp,3,18005,66,21,45,1,50
com-dblp,3,18019,66,66,0,1,24
com-dblp,3,18036,66,66,0,1,18
com-dblp,3,18073,66,10,56,1,24
com-dblp,3,18100,66,36,30,1,24
com-dblp,3,18126,66,66,0,1,24
com-dblp,3,18150,66,21,45,1,24
com-dblp,3,18186,66,45,21,1,36
com-dblp,3,18200,66,10,56,1,24
com-dblp,3,18225,66,66,0,1,14
com-dblp,3,18240,66,66,0,1,24
com-dblp,3,18254,66,15,51,1,26
com-dblp,3,18281,66,28,38,1,71
com-dblp,3,18307,66,55,11,1,24
com-dblp,3,18321,66,28,38,1,42
com-dblp,3,18335,66,66,0,1,21
com-dblp,3,18349,66,20,46,1,24
com-dblp,3,18363,66,66,0,1,40
com-dblp,3,18385,66,15,51,1,24
com-dblp,3,18413,66,66,0,1,38
com-dblp,3,18427,66,66,0,1,45
com-dblp,3,18455,66,21,45,1,31
com-dblp,3,18469,66,66,0,1,24
com-dblp,3,18483,66,66,0,1,24
com-dblp,3,18497,66,66,0,1,19
com-dblp,3,18537,66,66,0,1,24
com-dblp,3,18566,66,36,30,1,38
com-dblp,3,18580,66,66,0,1,14
com-dblp,3,18594,66,21,45,1,62
com-dblp,3,18608,66,66,0,1,23
com-dblp,3,18634,66,21,45,1,76
com-dblp,3,18648,66,15,51,1,57
com-dblp,3,18662,66,55,11,1,24
com-dblp,3,18676,66,28,38,1,24
com-dblp,3,18715,66,66,0,1,25
com-dblp,3,18729,66,10,56,1,49
com-dblp,3,18743,66,66,0,1,24
com-dblp,3,18806,66,66,0,1,24
com-dblp,3,18825,66,1,65,1,42
com-dblp,3,18840,66,36,30,1,41
com-dblp,3,18860,66,66,0,1,24
com-dblp,3,18911,66,36,30,1,114
com-dblp,3,18977,66,28,38,1,24
com-dblp,3,19013,66,21,45,1,58
com-dblp,3,19027,66,66,0,1,23
com-dblp,3,19057,66,36,30,1,24
com-dblp,3,19121,66,66,0,1,23
com-dblp,3,19136,66,21,45,1,39
com-dblp,3,19174,66,21,45,1,42
com-dblp,3,19188,66,55,11,1,24
com-dblp,3,19217,66,66,0,1,17
com-dblp,3,19237,66,6,60,1,32
com-dblp,3,19251,66,66,0,1,16
com-dblp,3,19266,66,55,11,1,47
com-dblp,3,19298,66,0,66,1,13
com-dblp,3,19322,66,66,0,1,23
com-dblp,3,19409,66,66,0,1,22
com-dblp,3,19429,66,55,11,1,24
com-dblp,3,19467,66,45,21,1,32
com-dblp,3,19483,66,15,51,1,40
com-dblp,3,19512,66,66,0,1,22
com-dblp,3,19543,66,66,0,1,24
com-dblp,3,19679,66,66,0,1,21
com-dblp,3,19693,66,66,0,1,23
com-dblp,3,19727,66,56,10,1,26
com-dblp,3,19769,66,36,30,1,66
com-dblp,3,22525,55,28,27,1,39
com-dblp,3,22538,55,36,19,1,56
com-dblp,3,22551,55,55,0,1,21
com-dblp,3,22573,55,41,14,1,22
com-dblp,3,22586,55,28,27,1,22
com-dblp,3,22623,55,33,22,1,36
com-dblp,3,22660,55,36,19,1,22
com-dblp,3,22691,55,45,10,1,22
com-dblp,3,22716,55,55,0,1,20
com-dblp,3,22729,55,1,54,1,27
com-dblp,3,22743,55,16,39,1,22
com-dblp,3,22756,55,36,19,1,22
com-dblp,3,22781,55,45,10,1,22
com-dblp,3,22794,55,10,45,1,40
com-dblp,3,22807,55,55,0,1,17
com-dblp,3,22820,55,55,0,1,21
com-dblp,3,22833,55,55,0,1,68
com-dblp,3,22846,55,15,40,1,22
com-dblp,3,22859,55,12,43,1,22
com-dblp,3,22872,55,17,38,1,22
com-dblp,3,22885,55,10,45,1,31
com-dblp,3,22907,55,28,27,1,58
com-dblp,3,22921,55,21,34,1,38
com-dblp,3,22958,55,55,0,1,22
com-dblp,3,22995,55,15,40,1,45
com-dblp,3,23009,55,55,0,1,21
com-dblp,3,23035,55,28,27,1,37
com-dblp,3,23050,55,36,19,1,22
com-dblp,3,23088,55,36,19,1,22
com-dblp,3,23102,55,55,0,1,22
com-dblp,3,23128,55,55,0,1,13
com-dblp,3,23141,55,10,45,1,33
com-dblp,3,23165,55,6,49,1,22
com-dblp,3,23205,55,28,27,1,39
com-dblp,3,23218,55,3,52,1,22
com-dblp,3,23231,55,55,0,1,22
com-dblp,3,23246,55,28,27,1,52
com-dblp,3,23260,55,55,0,1,19
com-dblp,3,23288,55,55,0,1,18
com-dblp,3,23312,55,15,40,1,22
com-dblp,3,23337,55,21,34,1,22
com-dblp,3,23362,55,55,0,1,22
com-dblp,3,23397,55,55,0,1,14
com-dblp,3,23446,55,55,0,1,22
com-dblp,3,23470,55,55,0,1,16
com-dblp,3,23509,55,29,26,1,22
com-dblp,3,23523,55,28,27,1,22
com-dblp,3,23538,55,6,49,1,22
com-dblp,3,23590,55,28,27,1,73
com-dblp,3,23615,55,55,0,1,21
com-dblp,3,23635,55,55,0,1,22
com-dblp,3,23648,55,45,10,1,22
com-dblp,3,23664,55,10,45,1,31
com-dblp,3,23680,55,55,0,1,20
com-dblp,3,23693,55,15,40,1,22
com-dblp,3,23726,55,6,49,1,33
com-dblp,3,23739,55,55,0,1,22
com-dblp,3,23766,55,1,54,1,32
com-dblp,3,23780,55,21,34,1,131
com-dblp,3,23796,55,55,0,1,20
com-dblp,3,23809,55,19,36,1,22
com-dblp,3,23838,55,45,10,1,22
com-dblp,3,23869,55,55,0,1,22
com-dblp,3,23883,55,6,49,1,38
com-dblp,3,23914,55,55,0,1,19
com-dblp,3,23987,55,45,10,1,22
com-dblp,3,24034,55,55,0,1,22
com-dblp,3,24067,55,15,40,1,69
com-dblp,3,24091,55,55,0,1,36
com-dblp,3,24135,55,55,0,1,22
com-dblp,3,24212,55,55,0,1,15
com-dblp,3,24249,55,6,49,1,45
com-dblp,3,24342,55,22,33,1,24
com-dblp,3,24355,55,55,0,1,21
com-dblp,3,24490,55,44,11,1,28
com-dblp,3,24630,55,20,35,1,38
com-dblp,3,24710,55,45,10,1,104
com-dblp,3,24757,55,21,34,1,66
com-dblp,3,24777,55,55,0,1,17
com-dblp,3,24793,55,55,0,1,22
com-dblp,3,24848,55,15,40,1,24
com-dblp,3,24900,55,55,0,1,21
com-dblp,3,25071,55,55,0,1,18
com-dblp,3,27518,45,45,0,1,20
com-dblp,3,27530,45,15,30,1,20
com-dblp,3,27542,45,10,35,1,65
com-dblp,3,27554,45,45,0,1,33
com-dblp,3,27577,45,37,8,1,79
com-dblp,3,27590,45,45,0,1,16
com-dblp,3,27631,45,36,9,1,20
com-dblp,3,27654,45,45,0,1,20
com-dblp,3,27675,45,45,0,1,20
com-dblp,3,27698,45,45,0,1,13
com-dblp,3,27710,45,1,44,1,23
com-dblp,3,27722,45,10,35,1,20
com-dblp,3,27734,45,10,35,1,20
com-dblp,3,27767,45,45,0,1,20
com-dblp,3,27779,45,10,35,1,29
com-dblp,3,27802,45,45,0,1,20
com-dblp,3,27814,45,45,0,1,20
com-dblp,3,27837,45,45,0,1,23
com-dblp,3,27886,45,28,17,1,20
com-dblp,3,27901,45,10,35,1,20
com-dblp,3,27939,45,45,0,1,20
com-dblp,3,27951,45,29,16,1,20
com-dblp,3,27963,45,21,24,1,35
com-dblp,3,27975,45,45,0,1,37
com-dblp,3,27988,45,45,0,1,20
com-dblp,3,28002,45,36,9,1,31
com-dblp,3,28014,45,45,0,1,12
com-dblp,3,28026,45,45,0,1,20
com-dblp,3,28039,45,1,44,1,20
com-dblp,3,28051,45,20,25,1,20
com-dblp,3,28072,45,10,35,1,29
com-dblp,3,28097,45,15,30,1,30
com-dblp,3,28117,45,45,0,1,20
com-dblp,3,28129,45,15,30,1,20
com-dblp,3,28150,45,45,0,1,20
com-dblp,3,28162,45,21,24,1,48
com-dblp,3,28174,45,45,0,1,20
com-dblp,3,28207,45,15,30,1,46
com-dblp,3,28248,45,45,0,1,20
com-dblp,3,28260,45,29,16,1,22
com-dblp,3,28294,45,4,41,1,59
com-dblp,3,28306,45,36,9,1,40
com-dblp,3,28341,45,45,0,1,16
com-dblp,3,28381,45,45,0,1,20
com-dblp,3,28459,45,16,29,1,20
com-dblp,3,28482,45,28,17,1,28
com-dblp,3,28530,45,45,0,1,20
com-dblp,3,28542,45,1,44,1,28
com-dblp,3,28554,45,10,35,1,33
com-dblp,3,28566,45,45,0,1,38
com-dblp,3,28580,45,36,9,1,37
com-dblp,3,28594,45,36,9,1,20
com-dblp,3,28606,45,21,24,1,30
com-dblp,3,28619,45,12,33,1,30
com-dblp,3,28633,45,28,17,1,20
com-dblp,3,28649,45,45,0,1,20
com-dblp,3,28662,45,28,17,1,55
com-dblp,3,28674,45,15,30,1,20
com-dblp,3,28686,45,45,0,1,38
com-dblp,3,28712,45,45,0,1,20
com-dblp,3,28735,45,36,9,1,55
com-dblp,3,28798,45,45,0,1,35
com-dblp,3,28812,45,5,40,1,20
com-dblp,3,28824,45,0,45,1,26
com-dblp,3,28836,45,28,17,1,20
com-dblp,3,28862,45,45,0,1,20
com-dblp,3,28887,45,45,0,1,15
com-dblp,3,28915,45,28,17,1,20
com-dblp,3,28927,45,45,0,1,20
com-dblp,3,28939,45,45,0,1,12
com-dblp,3,28951,45,45,0,1,19
com-dblp,3,29003,45,45,0,1,20
com-dblp,3,29015,45,45,0,1,20
com-dblp,3,29042,45,36,9,1,20
com-dblp,3,29080,45,36,9,1,20
com-dblp,3,29104,45,45,0,1,20
com-dblp,3,29142,45,21,24,1,35
com-dblp,3,29154,45,45,0,1,19
com-dblp,3,29203,45,45,0,1,20
com-dblp,3,29230,45,45,0,1,16
com-dblp,3,29255,45,45,0,1,20
com-dblp,3,29297,45,45,0,1,18
com-dblp,3,29310,45,45,0,1,20
com-dblp,3,29335,45,45,0,1,14
com-dblp,3,29365,45,28,17,1,33
com-dblp,3,29386,45,10,35,1,35
com-dblp,3,29398,45,45,0,1,16
com-dblp,3,29418,45,45,0,1,20
com-dblp,3,29440,45,23,22,1,41
com-dblp,3,29465,45,45,0,1,29
com-dblp,3,29482,45,45,0,1,18
com-dblp,3,29547,45,15,30,1,20
com-dblp,3,29560,45,3,42,1,20
com-dblp,3,29599,45,45,0,1,19
com-dblp,3,29643,45,45,0,1,16
com-dblp,3,29704,45,45,0,1,20
com-dblp,3,29727,45,10,35,1,20
com-dblp,3,29768,45,28,17,1,20
com-dblp,3,29795,45,28,17,1,20
com-dblp,3,29843,45,45,0,1,20
com-dblp,3,29870,45,15,30,1,33
com-dblp,3,29926,45,10,35,1,20
com-dblp,3,29975,45,45,0,1,28
com-dblp,3,30021,45,21,24,1,54
com-dblp,3,30038,45,45,0,1,15
com-dblp,3,30062,45,45,0,1,15
com-dblp,3,30077,45,28,17,1,32
com-dblp,3,30093,45,15,30,1,22
com-dblp,3,30183,45,45,0,1,17
com-dblp,3,30398,45,45,0,1,14
com-dblp,3,30515,45,45,0,1,20
com-dblp,3,30621,45,37,8,1,21
com-dblp,3,30633,45,21,24,1,20
com-dblp,3,30679,45,45,0,1,17
com-dblp,3,30703,45,28,17,1,20
com-dblp,3,30923,45,45,0,1,14
com-dblp,3,31332,45,45,0,1,16
com-dblp,3,31484,45,33,12,1,20
com-dblp,3,32891,45,45,0,1,14
com-dblp,3,34347,36,36,0,1,17
com-dblp,3,34368,36,0,36,1,10
com-dblp,3,34399,36,28,8,1,18
com-dblp,3,34410,36,10,26,1,51
com-dblp,3,34431,36,10,26,1,25
com-dblp,3,34442,36,4,32,1,61
com-dblp,3,34463,36,36,0,1,17
com-dblp,3,34492,36,15,21,1,18
com-dblp,3,34519,36,36,0,1,11
com-dblp,3,34530,36,21,15,1,18
com-dblp,3,34541,36,36,0,1,18
com-dblp,3,34552,36,0,36,1,13
com-dblp,3,34573,36,25,11,1,18
com-dblp,3,34584,36,28,8,1,18
com-dblp,3,34615,36,36,0,1,18
com-dblp,3,34626,36,36,0,1,15
com-dblp,3,34637,36,33,3,1,38
com-dblp,3,34667,36,28,8,1,43
com-dblp,3,34678,36,10,26,1,18
com-dblp,3,34689,36,20,16,1,18
com-dblp,3,34710,36,28,8,1,18
com-dblp,3,34721,36,6,30,1,44
com-dblp,3,34752,36,28,8,1,50
com-dblp,3,34783,36,6,30,1,18
com-dblp,3,34795,36,33,3,1,18
com-dblp,3,34816,36,7,29,1,18
com-dblp,3,34854,36,21,15,1,29
com-dblp,3,34875,36,36,0,1,29
com-dblp,3,34886,36,21,15,1,18
com-dblp,3,34918,36,36,0,1,14
com-dblp,3,34929,36,36,0,1,18
com-dblp,3,35004,36,36,0,1,36
com-dblp,3,35016,36,36,0,1,18
com-dblp,3,35042,36,1,35,1,18
com-dblp,3,35053,36,7,29,1,24
com-dblp,3,35084,36,36,0,1,17
com-dblp,3,35113,36,0,36,1,10
com-dblp,3,35124,36,36,0,1,15
com-dblp,3,35135,36,4,32,1,22
com-dblp,3,35157,36,15,21,1,38
com-dblp,3,35168,36,28,8,1,18
com-dblp,3,35199,36,1,35,1,23
com-dblp,3,35210,36,10,26,1,29
com-dblp,3,35222,36,10,26,1,18
com-dblp,3,35233,36,2,34,1,18
com-dblp,3,35273,36,36,0,1,18
com-dblp,3,35288,36,4,32,1,20
com-dblp,3,35299,36,10,26,1,24
com-dblp,3,35310,36,36,0,1,15
com-dblp,3,35342,36,36,0,1,17
com-dblp,3,35353,36,28,8,1,29
com-dblp,3,35364,36,15,21,1,58
com-dblp,3,35375,36,21,15,1,27
com-dblp,3,35387,36,36,0,1,17
com-dblp,3,35412,36,21,15,1,31
com-dblp,3,35457,36,15,21,1,18
com-dblp,3,35470,36,36,0,1,34
com-dblp,3,35487,36,36,0,1,15
com-dblp,3,35508,36,10,26,1,35
com-dblp,3,35520,36,36,0,1,18
com-dblp,3,35559,36,36,0,1,18
com-dblp,3,35571,36,36,0,1,18
com-dblp,3,35605,36,1,35,1,36
com-dblp,3,35616,36,36,0,1,18
com-dblp,3,35627,36,36,0,1,13
com-dblp,3,35676,36,15,21,1,83
com-dblp,3,35691,36,21,15,1,18
com-dblp,3,35726,36,36,0,1,17
com-dblp,3,35737,36,36,0,1,17
com-dblp,3,35748,36,8,28,1,45
com-dblp,3,35788,36,36,0,1,17
com-dblp,3,35799,36,28,8,1,28
com-dblp,3,35820,36,36,0,1,16
com-dblp,3,35870,36,21,15,1,74
com-dblp,3,35882,36,36,0,1,33
com-dblp,3,35893,36,6,30,1,20
com-dblp,3,35930,36,17,19,1,18
com-dblp,3,35953,36,8,28,1,22
com-dblp,3,35964,36,36,0,1,18
com-dblp,3,36009,36,10,26,1,18
com-dblp,3,36039,36,22,14,1,18
com-dblp,3,36061,36,21,15,1,18
com-dblp,3,36072,36,36,0,1,17
com-dblp,3,36083,36,2,34,1,30
com-dblp,3,36096,36,21,15,1,18
com-dblp,3,36113,36,36,0,1,18
com-dblp,3,36137,36,36,0,1,18
com-dblp,3,36159,36,36,0,1,18
com-dblp,3,36171,36,21,15,1,18
com-dblp,3,36208,36,36,0,1,47
com-dblp,3,36245,36,29,7,1,20
com-dblp,3,36256,36,16,20,1,49
com-dblp,3,36279,36,20,16,1,18
com-dblp,3,36301,36,15,21,1,98
com-dblp,3,36325,36,36,0,1,34
com-dblp,3,36355,36,36,0,1,18
com-dblp,3,36369,36,21,15,1,20
com-dblp,3,36391,36,21,15,1,18
com-dblp,3,36412,36,36,0,1,18
com-dblp,3,36423,36,36,0,1,18
com-dblp,3,36457,36,15,21,1,18
com-dblp,3,36484,36,15,21,1,29
com-dblp,3,36495,36,3,33,1,52
com-dblp,3,36524,36,36,0,1,16
com-dblp,3,36555,36,28,8,1,36
com-dblp,3,36567,36,23,13,1,28
com-dblp,3,36590,36,16,20,1,18
com-dblp,3,36607,36,36,0,1,18
com-dblp,3,36618,36,28,8,1,36
com-dblp,3,36648,36,36,0,1,16
com-dblp,3,36672,36,16,20,1,35
com-dblp,3,36714,36,36,0,1,18
com-dblp,3,36725,36,36,0,1,18
com-dblp,3,36746,36,36,0,1,26
com-dblp,3,36758,36,36,0,1,15
com-dblp,3,36781,36,30,6,1,18
com-dblp,3,36792,36,28,8,1,18
com-dblp,3,36804,36,28,8,1,18
com-dblp,3,36817,36,28,8,1,18
com-dblp,3,36829,36,36,0,1,18
com-dblp,3,36862,36,15,21,1,29
com-dblp,3,36874,36,10,26,1,18
com-dblp,3,36886,36,10,26,1,18
com-dblp,3,36919,36,36,0,1,18
com-dblp,3,36988,36,8,28,1,24
com-dblp,3,36999,36,15,21,1,31
com-dblp,3,37015,36,14,22,1,18
com-dblp,3,37027,36,36,0,1,18
com-dblp,3,37048,36,28,8,1,17
com-dblp,3,37076,36,36,0,1,17
com-dblp,3,37098,36,36,0,1,18
com-dblp,3,37126,36,36,0,1,16
com-dblp,3,37138,36,36,0,1,16
com-dblp,3,37152,36,15,21,1,28
com-dblp,3,37183,36,36,0,1,37
com-dblp,3,37236,36,28,8,1,38
